name	kind	signature	realisations	status	origin	source
IntArraySlice	structure	MONO_ARRAY_SLICE	where type vector = IntVector.vector where type vector_slice = IntVectorSlice.slice where type array = IntArray.array where type elem = int	optional	claimed	lib/basis/mono_int.sml
IntInf	structure	INTEGER		optional	claimed	lib/basis/intinf.sml
IntInf	structure	INT_INF		optional	claimed	lib/basis/intinf.sml
IntVector	structure	MONO_VECTOR	where type elem = int	optional	claimed	lib/basis/mono_int.sml
IntVectorSlice	structure	MONO_VECTOR_SLICE	where type vector = IntVector.vector where type elem = int	optional	claimed	lib/basis/mono_int.sml
LargeInt	structure	INTEGER		required	claimed	lib/basis/intinf.sml
LargeIntArray	structure	MONO_ARRAY	where type vector = LargeIntVector.vector where type elem = LargeInt.int	optional	claimed	lib/basis/mono_largeint.sml
LargeIntArray2	structure	MONO_ARRAY2	where type vector = LargeIntVector.vector where type elem = LargeInt.int	optional	claimed	lib/basis/mono_largeint.sml
LargeIntArraySlice	structure	MONO_ARRAY_SLICE	where type vector = LargeIntVector.vector where type vector_slice = LargeIntVectorSlice.slice where type array = LargeIntArray.array where type elem = LargeInt.int	optional	claimed	lib/basis/mono_largeint.sml
LargeIntVector	structure	MONO_VECTOR	where type elem = LargeInt.int	optional	claimed	lib/basis/mono_largeint.sml
LargeIntVectorSlice	structure	MONO_VECTOR_SLICE	where type vector = LargeIntVector.vector where type elem = LargeInt.int	optional	claimed	lib/basis/mono_largeint.sml
LargeReal	structure	REAL		required	claimed	lib/basis/real.sml
LargeReal.Math	structure	MATH		required	inherited	lib/basis/real.sml
LargeRealArray	structure	MONO_ARRAY	where type vector = LargeRealVector.vector where type elem = LargeReal.real	optional	claimed	lib/basis/mono_largereal.sml
LargeRealArray2	structure	MONO_ARRAY2	where type vector = LargeRealVector.vector where type elem = LargeReal.real	optional	claimed	lib/basis/mono_largereal.sml
LargeRealArraySlice	structure	MONO_ARRAY_SLICE	where type vector = LargeRealVector.vector where type vector_slice = LargeRealVectorSlice.slice where type array = LargeRealArray.array where type elem = LargeReal.real	optional	claimed	lib/basis/mono_largereal.sml
LargeRealVector	structure	MONO_VECTOR	where type elem = LargeReal.real	optional	claimed	lib/basis/mono_largereal.sml
LargeRealVectorSlice	structure	MONO_VECTOR_SLICE	where type vector = LargeRealVector.vector where type elem = LargeReal.real	optional	claimed	lib/basis/mono_largereal.sml
LargeWordArray	structure	MONO_ARRAY	where type vector = LargeWordVector.vector where type elem = LargeWord.word	optional	claimed	lib/basis/mono_largeword.sml
LargeWordArray2	structure	MONO_ARRAY2	where type vector = LargeWordVector.vector where type elem = LargeWord.word	optional	claimed	lib/basis/mono_largeword.sml
LargeWordArraySlice	structure	MONO_ARRAY_SLICE	where type vector = LargeWordVector.vector where type vector_slice = LargeWordVectorSlice.slice where type array = LargeWordArray.array where type elem = LargeWord.word	optional	claimed	lib/basis/mono_largeword.sml
LargeWordVector	structure	MONO_VECTOR	where type elem = LargeWord.word	optional	claimed	lib/basis/mono_largeword.sml
LargeWordVectorSlice	structure	MONO_VECTOR_SLICE	where type vector = LargeWordVector.vector where type elem = LargeWord.word	optional	claimed	lib/basis/mono_largeword.sml
List	structure	LIST		required	claimed	lib/basis/list.sml
ListPair	structure	LIST_PAIR		required	claimed	lib/basis/listpair.sml
Math	structure	MATH	where type real = Real.real	required	claimed	lib/basis/real.sml
NetHostDB	structure	NET_HOST_DB		optional	claimed	lib/basis/netdb.sml
NetProtDB	structure	NET_PROT_DB		optional	claimed	lib/basis/netdb.sml
NetServDB	structure	NET_SERV_DB		optional	claimed	lib/basis/netdb.sml
OS	structure	OS		required	claimed	lib/basis/os.sml
OS.FileSys	structure	OS_FILE_SYS		required	claimed	lib/basis/os.sml
OS.IO	structure	OS_IO		required	claimed	lib/basis/os.sml
OS.Path	structure	OS_PATH		required	claimed	lib/basis/os.sml
OS.Process	structure	OS_PROCESS		required	claimed	lib/basis/os.sml
Option	structure	OPTION		required	claimed	lib/basis/option.sml
PackReal32Big	structure	PACK_REAL	where type real = Real32.real	optional	claimed	lib/basis/pack_real32.sml
PackReal32Little	structure	PACK_REAL	where type real = Real32.real	optional	claimed	lib/basis/pack_real32.sml
PackReal64Big	structure	PACK_REAL	where type real = Real64.real	optional	claimed	lib/basis/pack_real.sml
PackReal64Little	structure	PACK_REAL	where type real = Real64.real	optional	claimed	lib/basis/pack_real.sml
PackRealBig	structure	PACK_REAL	where type real = Real.real	optional	claimed	lib/basis/pack_real.sml
PackRealLittle	structure	PACK_REAL	where type real = Real.real	optional	claimed	lib/basis/pack_real.sml
PackWord16Big	structure	PACK_WORD		optional	claimed	lib/basis/pack_word.sml
PackWord16Little	structure	PACK_WORD		optional	claimed	lib/basis/pack_word.sml
PackWord32Big	structure	PACK_WORD		optional	claimed	lib/basis/pack_word.sml
PackWord32Little	structure	PACK_WORD		optional	claimed	lib/basis/pack_word.sml
PackWord64Big	structure	PACK_WORD		optional	claimed	lib/basis/pack_word.sml
PackWord64Little	structure	PACK_WORD		optional	claimed	lib/basis/pack_word.sml
Posix	structure	POSIX		optional	claimed	lib/basis/posix.sml
Posix.Error	structure	POSIX_ERROR		optional	claimed	lib/basis/posix.sml
Posix.FileSys	structure	POSIX_FILE_SYS		optional	claimed	lib/basis/posix.sml
Posix.FileSys.O	structure	BIT_FLAGS		optional	claimed	lib/basis/posix_filesys.sml
Posix.FileSys.S	structure	BIT_FLAGS		optional	claimed	lib/basis/posix_filesys.sml
Posix.IO	structure	POSIX_IO		optional	claimed	lib/basis/posix.sml
Posix.IO.FD	structure	BIT_FLAGS		optional	claimed	lib/basis/posix_io.sml
Posix.IO.O	structure	BIT_FLAGS		optional	claimed	lib/basis/posix_io.sml
Posix.ProcEnv	structure	POSIX_PROC_ENV		optional	claimed	lib/basis/posix.sml
Posix.Process	structure	POSIX_PROCESS		optional	claimed	lib/basis/posix.sml
Posix.Process.W	structure	BIT_FLAGS		optional	claimed	lib/basis/posix_process.sml
Posix.Signal	structure	POSIX_SIGNAL		optional	claimed	lib/basis/posix.sml
Posix.SysDB	structure	POSIX_SYS_DB		optional	claimed	lib/basis/posix.sml
Posix.TTY	structure	POSIX_TTY		optional	claimed	lib/basis/posix.sml
Posix.TTY.C	structure	BIT_FLAGS		optional	claimed	lib/basis/posix_tty.sml
Posix.TTY.I	structure	BIT_FLAGS		optional	claimed	lib/basis/posix_tty.sml
Posix.TTY.L	structure	BIT_FLAGS		optional	claimed	lib/basis/posix_tty.sml
Posix.TTY.O	structure	BIT_FLAGS		optional	claimed	lib/basis/posix_tty.sml
PrimIO	functor	PRIM_IO		optional	ascribed	lib/basis/io_functors.sml
Real	structure	REAL	where type real = real	required	claimed	lib/basis/real.sml
Real.Math	structure	MATH		required	claimed	lib/basis/real.sml
Real32	structure	REAL		optional	claimed	lib/basis/real32.sml
Real32Array	structure	MONO_ARRAY	where type vector = Real32Vector.vector where type elem = Real32.real	optional	claimed	lib/basis/mono_real32.sml
Real32Array2	structure	MONO_ARRAY2	where type vector = Real32Vector.vector where type elem = Real32.real	optional	claimed	lib/basis/mono_real32.sml
Real32ArraySlice	structure	MONO_ARRAY_SLICE	where type vector = Real32Vector.vector where type vector_slice = Real32VectorSlice.slice where type array = Real32Array.array where type elem = Real32.real	optional	claimed	lib/basis/mono_real32.sml
Real32Vector	structure	MONO_VECTOR	where type elem = Real32.real	optional	claimed	lib/basis/mono_real32.sml
Real32VectorSlice	structure	MONO_VECTOR_SLICE	where type vector = Real32Vector.vector where type elem = Real32.real	optional	claimed	lib/basis/mono_real32.sml
Real64.Math	structure	MATH		required	inherited	lib/basis/real.sml
Real64Array	structure	MONO_ARRAY	where type vector = Real64Vector.vector where type elem = Real64.real	optional	claimed	lib/basis/mono_real64.sml
